Date,Description ,Link,Type,Start Time,End Time
2024-07-23,"Harris held a rally in Milwaukee, Wisconsin",https://www.youtube.com/watch?v=JPQpRRPT5BU,Rally,00:01:00,
2024-07-30,"Harris held a rally in Atlanta, Georgia",https://www.youtube.com/watch?v=_lpYc-Ww8j4,Rally,00:01:03,
2024-07-31,"Harris spoke at Sigma Gamma Rho Sorority Inc.’s 60th International Biennial Boule in Houston, Texas",https://www.youtube.com/watch?v=_VNi5Pe7zZM&ab_channel=TheBidenWhiteHouse,Event,00:02:58,
2024-08-07,"Harris held rallies in Detroit, Michigan.",https://www.youtube.com/watch?v=2dU9oEGJ4zM&ab_channel=WFAA,Rally,00:00:36,
2024-08-07,"Harris held rallies in Eau Claire, Wisconsin",https://www.youtube.com/watch?v=5_xPGvP62-A,Rally,00:00:25,
2024-08-08,"Harris spoke at United Auto Workers local 900 in Detroit, Michigan",https://www.youtube.com/watch?v=07A6iRmiixk&ab_channel=WFAA,Event,00:17:36,
2024-08-09,"Harris held a rally in Glendale, Arizona (need clipping)",https://www.youtube.com/watch?v=H8rizxQqQR0&ab_channel=ABC15Arizona,Rally,01:54:59,02:25:40
2024-08-10,"Harris held a rally in Las Vegas, Nevada",https://www.youtube.com/watch?v=GLYhhwf-4yo,Rally,00:00:00,
2024-08-15,"Harris delivered remarks in Largo, Maryland",https://www.youtube.com/watch?v=RR9K55Tvg90&ab_channel=TheBidenWhiteHouse,Event,00:03:48,00:13:40
2024-08-20,"Harris held a rally in Milwaukee, Wisconsin. (need clipping)",https://www.youtube.com/watch?v=NaQ5KGwAox0&ab_channel=MilwaukeeJournalSentinel,Rally,00:45:46,
2024-08-22,Harris Democratic nomination speech,https://www.youtube.com/watch?v=Kn7EPojdKT0,Event,00:01:45,
2024-08-28,Harris conducted a campaign tour in Georgia,,Tour,,
2024-08-29,"Harris held a rally in Savannah, Georgia",https://www.youtube.com/watch?v=60sVKUwuF5M&ab_channel=FOX5Atlanta,Rally,00:01:15,
2024-08-29,Harris Walz joint interview ,,Interview,,
2024-09-02,"Harris held a rally in Detroit, Michigan (needs clipping )",https://www.youtube.com/watch?v=vVW6efTCM8M&ab_channel=KamalaHarris,Rally ,00:12:00,
2024-09-02,Harris held a rally in Pittsburg Pennsylvania (needs clipping ),https://www.youtube.com/watch?v=2M0fHti7DZI&ab_channel=KamalaHarris,Rally,0:33:15,
2024-09-04,"Harris held a campaign event in North Hampton, New Hampshire",https://www.youtube.com/watch?v=TAlEsoHtmGg&ab_channel=FOX26Houston,Event,00:00:11,
2024-09-10,Harris partcipiates in debate with Donald Trump,,Debate ,,
