date,type,description,text_type,text,chunk_id,words
2024-07-23,Rally,"Harris held a rally in Milwaukee, Wisconsin",full,"I'm gonna keep running cuz the way they don't quit on themselves thank you thank you, thank you Attorney General Josh Call, Wisconsin Secretary of State Sarah Godluski, County Executive David Crowley, Mayor Cavalier Johnson, and the great state party chair Ben Wittler who I have worked with Ben you and I've been working together for years and I can attest he knows how to build the infrastructure that delivers wins up and down the ballot thank you Ben so it is good to be back in Wisconsin and it is great to be in Milwaukee as many of you know our state campaign headquarters are in this city and there is a reason for that the path to the White House goes through Wisconsin yes it does and to win in Wisconsin we are counting on you right here in Milwaukee and you all helped us win in 2020 and in 2024 we will win again yes we will so Milwaukee I want to start by saying a few words and I could really speak at length but a few words about our incredible President Joe Biden it has truly been one of the greatest honors of my life to serve as Vice President to our President Joe Biden Joe's legacy of accomplishment over his entire career and over the past three and a half years is unmatched in modern history in one term think about it in one term as President he has already surpassed the legacy of most presidents who served two terms in office and I know we are all deeply deeply grateful for his continuing service to our nation and it is my great honor to have Joe Biden's endorsement in this race so Wisconsin I am told as of this morning that we have earned the support of enough delegates to secure the Democratic nomination and I am so very honored and I pledge to you I will spend the coming weeks continuing to unite our party so that we are ready to win in November so friends we have 105 days until election day and in that time we have got some work to do but we are not afraid of hard work we like hard work don't we and we will win this election yes we will so as Leah told you before I was elected Vice President before I was elected United States Senator I was elected Attorney General of the State of California and I was a courtroom prosecutor before then and in those roles I took on perpetrators of all kinds predators who abused women fraudsters who ripped off consumers cheaters who broke the rules for their own gain so hear me when I say I know Donald Trump's type Trump As a prosecutor I specialized in cases involving sexual abuse. Well, Trump was found liable for committing sexual abuse. As Attorney General of California, I took on the big wall street banks and held them accountable for fraud. Donald Trump was just found guilty of fraud on 34 counts. Trump On the other hand, we are running a people-powered campaign. And we just had some breaking news. We just had the best 24 hours of grassroots fundraising in presidential campaign history. And because we are a people-powered campaign, that is how you know we will be a people-first presidency. And, Wisconsin, this campaign is also about two different visions for our nation. One, where we are focused on the future. The other, focused on the past. We believe in a future where every person has the opportunity not just to get by, but to get ahead. A future where no child has to grow up in poverty. A future where every worker has the freedom to join a union. Where every person has affordable healthcare, affordable childcare, and paid family leave. We believe in a future where every senior can retire with dignity. So all of this is to say, building up the middle class will be a defining goal of my presidency. Because here's the thing we all here, Wisconsin, know. When our middle class is strong, America is strong. But Donald Trump wants to take our country backward. He and his extreme project 2025 agenda will weaken the middle class. Like we know we got to take this seriously. Can you believe they put that thing in writing? Read it as 900 pages. But here's the thing, when you read it, you will see Donald Trump intends to cut Social Security and Medicare. He intends to give tax breaks to billionaires and big corporations and make working families foot the bill. They intend to end the Affordable Care Act. And take us back then to a time when insurance companies had the power to deny people with pre-existing conditions. Remember what that was like? Children with asthma, women who survived breast cancer, grandparents with diabetes. America has tried these failed economic policies before. But we are not going back. We are not going back. And I'll tell you why we're not going back. Because ours is a fight for the future. And it is a fight for freedom. Generations of America's... generations. And we have to remember this. The shoulders on which we stand, generations of Americans before us led the fight for freedom. And now, Wisconsin, the baton is in our hands. We, who believe in the sacred freedom to vote, will make sure every American has the ability to cast their ballot and have it counted. We, who believe that every person in our nation who should have the freedom to live safe from the terror of gun violence, will finally pass red flag laws, universal background checks, and an assault weapons ban. And we, who believe in reproductive freedom, will stop Donald Trump's extreme abortion bans because we trust women to make decisions about their own body and not let their government tell them what to do. And when Congress passes a law to restore reproductive freedoms as President of the United States, I will sign it into law. So Wisconsin, ultimately in this election, we each face a question. What kind of country do we want to live in? A country... And to your point, do we want to live in a country of freedom, compassion, and rule of law, or a country of chaos, fear, and hate? And here's the beauty of this moment. We each have the power to answer that question. The power is with the people. We each have the power to answer that question. And in the next 105 days, then we have work to do. We have doors to knock on, we have phone calls to make, we have voters to register, and we have an election to win. So Wisconsin, today I ask you, are you ready to get to work? Do we believe in freedom? Do we believe in opportunity? Do we believe in the promise of America? And are we ready to fight for it? And when we fight, we win. God bless you. God bless the United States of America.",full,1188
2024-07-23,Rally,"Harris held a rally in Milwaukee, Wisconsin",chunk,"I'm gonna keep running cuz the way they don't quit on themselves thank you thank you, thank you Attorney General Josh Call, Wisconsin Secretary of State Sarah Godluski, County Executive David Crowley, Mayor Cavalier Johnson, and the great state party chair Ben Wittler who I have worked with Ben you and I've been working together for years and I can attest he knows how to build the infrastructure that delivers wins up and down the ballot thank you Ben so it is good to be back in Wisconsin and it is great to be in Milwaukee as many of you know our state campaign headquarters are in this city and there is a reason for that the path to the White House goes through Wisconsin yes it does and to win in Wisconsin we are counting on you right here in Milwaukee and you all helped us win in 2020 and in 2024 we will win again yes we will so Milwaukee I want to start by saying a few words and I could really speak at length but a few words about our incredible President Joe Biden it has truly been one of the greatest honors of my life to serve as Vice President to our President Joe Biden Joe's legacy of accomplishment over his entire career and over the past three and a half years is unmatched in modern history in one term think about it in one term as President he has already surpassed the legacy of most presidents who served two terms in office and I know we are all deeply deeply grateful for his continuing service to our nation and it is my great honor to have Joe Biden's endorsement in this race so Wisconsin I am told as of this morning that we have earned the support of enough delegates to secure the Democratic nomination and I am so very honored and I pledge to you I will spend the coming weeks continuing to unite our party so that we are ready to win in November so friends we have 105 days until election day and in that time we have got some work to do but we are not afraid of hard work we like hard work don't we and we will win this election yes we will so as Leah told you before I was elected Vice President before I was elected United States Senator I was elected Attorney General of the State of California and I was a courtroom prosecutor before then and in those roles I took on perpetrators of all kinds predators who abused women fraudsters who ripped off consumers cheaters who broke the rules for their own gain so hear me when I say I know Donald Trump's type Trump As a prosecutor I specialized in cases involving sexual abuse. Well, Trump was found liable for committing sexual abuse. As Attorney General of California, I took on the big wall street banks and held them accountable for fraud. Donald Trump was just found guilty of fraud on 34 counts. Trump On the other hand, we are running a people-powered campaign.",chunk_1,522
2024-07-23,Rally,"Harris held a rally in Milwaukee, Wisconsin",chunk,"And we just had some breaking news. We just had the best 24 hours of grassroots fundraising in presidential campaign history. And because we are a people-powered campaign, that is how you know we will be a people-first presidency. And, Wisconsin, this campaign is also about two different visions for our nation. One, where we are focused on the future. The other, focused on the past. We believe in a future where every person has the opportunity not just to get by, but to get ahead. A future where no child has to grow up in poverty. A future where every worker has the freedom to join a union. Where every person has affordable healthcare, affordable childcare, and paid family leave. We believe in a future where every senior can retire with dignity. So all of this is to say, building up the middle class will be a defining goal of my presidency. Because here's the thing we all here, Wisconsin, know. When our middle class is strong, America is strong. But Donald Trump wants to take our country backward. He and his extreme project 2025 agenda will weaken the middle class. Like we know we got to take this seriously. Can you believe they put that thing in writing? Read it as 900 pages. But here's the thing, when you read it, you will see Donald Trump intends to cut Social Security and Medicare. He intends to give tax breaks to billionaires and big corporations and make working families foot the bill. They intend to end the Affordable Care Act. And take us back then to a time when insurance companies had the power to deny people with pre-existing conditions. Remember what that was like? Children with asthma, women who survived breast cancer, grandparents with diabetes. America has tried these failed economic policies before. But we are not going back. We are not going back. And I'll tell you why we're not going back. Because ours is a fight for the future. And it is a fight for freedom. Generations of America's.. generations. And we have to remember this. The shoulders on which we stand, generations of Americans before us led the fight for freedom.",chunk_2,366
2024-07-23,Rally,"Harris held a rally in Milwaukee, Wisconsin",chunk,"And now, Wisconsin, the baton is in our hands. We, who believe in the sacred freedom to vote, will make sure every American has the ability to cast their ballot and have it counted. We, who believe that every person in our nation who should have the freedom to live safe from the terror of gun violence, will finally pass red flag laws, universal background checks, and an assault weapons ban. And we, who believe in reproductive freedom, will stop Donald Trump's extreme abortion bans because we trust women to make decisions about their own body and not let their government tell them what to do. And when Congress passes a law to restore reproductive freedoms as President of the United States, I will sign it into law. So Wisconsin, ultimately in this election, we each face a question. What kind of country do we want to live in? A country.. And to your point, do we want to live in a country of freedom, compassion, and rule of law, or a country of chaos, fear, and hate? And here's the beauty of this moment. We each have the power to answer that question. The power is with the people. We each have the power to answer that question. And in the next 105 days, then we have work to do. We have doors to knock on, we have phone calls to make, we have voters to register, and we have an election to win. So Wisconsin, today I ask you, are you ready to get to work? Do we believe in freedom? Do we believe in opportunity? Do we believe in the promise of America? And are we ready to fight for it? And when we fight, we win. God bless you. God bless the United States of America.",chunk_3,300
2024-07-30,Rally,"Harris held a rally in Atlanta, Georgia",full,"The evening drives away. Thank you, thank you. thank you . Thank you everyone, thank you, thank you. Thank you all, thank you very much. Thank you everybody. Oh, it's good to be back in Georgia. Thank you everyone. Can we please hear for Tyler? I want to thank Tyler for that incredible introduction. I invited him and several other young entrepreneurs to come and visit with me at the White House. And we had a really very long and important conversation about the future of America. And Tyler, you represent the best of our future. Thank you. And please give it up for Quavo and Megan. So it is so good to see everyone. And let me also thank our incredible members of Congress who are with us this evening. Senator John Assoff, Senator Raphael Warnock, and Representative Nakeema Williams, and Senator George A. To Mayor Andre Dickens, thank you for welcoming me, to Atlanta, and thank you to the great Stacey Abrams. You are an extraordinary leadership. So Georgia, it is so good to be back. And I am very clear, the path to the White House runs right through this state. And you all helped us win in 2020, and we're going to do it again in 2024. So let's get right down. So I'm going to get into some business now. All right. So Georgia, as many of you know, before, and have a seat if you have a chair. As many of you know, before I was elected Vice President, and before I was elected a United States Senator, I was an elected Attorney General and an elected District Attorney. And before that, I was elected a Vice President and an elected District Attorney. And before that, I was a courtroom prosecutor. So in those roles, I took on perpetrators of all kinds. Predators who abused women. Fraudsters who ripped off consumers. Cheaters who broke the rules for their own gain. So hear me when I say, I know Donald Trump's tight. And I have been dealing with people like him my entire career. For example, as Attorney General of California, I took on one of our country's largest for-profit colleges that was scanning students. Well, Donald Trump ran a for-profit college that scanned students. As a prosecutor, I specialized in child sexual abuse cases and sexual abuse cases. Well, Trump was found liable for committing sexual abuse. And as an Attorney General, I held the Big Wall Street banks accountable for fraud. Donald Trump was just found guilty of fraud. 34 counts. So in this campaign, Lock it up, Lock it up, Lock it up, Lock it up, Lock it up. So in this campaign, I will proudly put my record against his any day of complaint. Any day of complaint. Any day of complaint. Including, for example, on the issue of immigration. So I was the Attorney General of a border state. In that job, I walked underground tunnels between the United States and Mexico on that border with law enforcement officers. I went after transnational gangs, drug cartels, and human traffickers that came into our country illegally. I prosecuted them, in case after case, and I won. Donald Trump... Donald Trump, on the other hand, has been talking a big game about securing our border, but he does not walk the walk. Or as my friend Quavo would say, he does not walk it like he talks it. He is a doctor. So look, our administration worked on the most significant border security bill in decades. Some of the most conservative Republicans in Washington, DC, supported the bill. Even the border patrol endorsed it. It was all set to pass. But at the last minute, Trump directed his allies in the Senate to vote it down. He tanked, tanked the bipartisan deal because he thought it would help him win an election. Which goes to show, Donald Trump does not care about border security. He only cares about himself. And when I am president, I will work to actually solve the problem. So here is my pledge to you. As president, I will bring back the border security bill that Donald Trump killed, and I will sign it into law, and show Donald Trump what real leadership looks like. But make no mistake, this campaign is not just about us versus Donald Trump. Truly, this campaign is about two very different visions for our nation. One focused on the future, the other focused on the past. We believe in a future where every person has the opportunity to build a business, to own a home, to build intergenerational wealth, a future with affordable healthcare, affordable childcare, paid leave. And all of this is to say, building up the middle class will be a defining goal of my presidency. Because we here all know when our middle class is strong, America is strong. And to keep our middle class strong, families need relief from the high cost of living so that they have a chance, not just to get by, but to get ahead. And yes, it is true that by many indicators, our economy is the strongest in the world, but while inflation is down and wages are up, prices are still too high. You know it and I know it. And when we win this election, here's what we're going to do about it. On day one, I will take on price gouging and bring down costs. We will ban more of those hidden fees and surprise late charges that banks and other companies use to pad their profits. We will take on corporate landlords and cap unfair rent increases. And we will take on big pharma to cap prescription drug costs for all Americans. Our plan will lower costs and save many middle class families thousands of dollars a year. But Donald Trump has a different plan in mind. One that would raise prices on middle class families. Just look at his Project 2025 agenda. I take it you've seen it. Project 2025 is a plan to weaken the middle class. Be clear. And Donald Trump intends to cut Social Security and Medicare. He intends to give tax breaks to billionaires and big corporations. He intends to gut our investments in clean energy jobs. He intends to end the Affordable Care Act. He intends to take on the price gouging and bring down costs. To take us back to a time when insurance companies have the power to deny people with pre-existing conditions. You guys remember what that was? Children with asthma, breast cancer survivors, grandparents with diabetes. And we are not going back. We're not going back. And we are not going back because ours is a fight for the future. And it is a fight for freedom. Across our nation we are witnessing a full on assault on hard fought, hard won freedoms and rights. The freedom to vote. The freedom to be safe from gun violence. The freedom to live without fear of bigotry and hate. The freedom to love who you love openly and with pride. The freedom to learn and acknowledge our true and full history. And the freedom of a woman to make decisions about her own body and not have her government tell her what to do. Ours is a fight for the future and for freedom. And I don't have to tell folks in Atlanta that generations of Americans before us led the fight for freedom. And now the baton is in our hands. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. We who believe in the sacred freedom to vote will finally pass the freedom to vote act and the John Lewis voting right to dance and act. We who believe in the freedom to live safe from gun violence will finally pass universal background checks, red flag laws, and an assault weapons ban. We who believe in reproductive freedom will stop Donald Trump's extreme abortion bans and when Congress passes a law to restore reproductive freedoms as President of the United States, I will sign it in too long. So November 5th is in 98 days. In 98 days and let's level set, friends, let's level set. We have a fight in front of us. We have a fight in front of us. And we are the underdogs in this race. We are. But you see, this is a people powered campaign. Ours is a people powered campaign. In fact, after I announced my candidacy, we saw the best week of grassroots fundraising in presidential campaign history. And if you go to comleharris.com, you can help us build on that success. So the momentum in this race is shifting. And there are signs that Donald Trump is feeling it. You may have noticed. So last week, you may have seen, he pulled out of the debate in September. He had previously agreed to. So, so, so here's the thing. Here's the funny thing about that. Here's the funny thing about that. So he won't debate. But he and his running mate sure seem to have a lot to say about me. And by the way, don't you find some of their stuff to just be plain weird? Well, Donald. I do hope you'll reconsider to meet me on the debate stage. Because as the same goes, if you've got something to say. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face.",full,1903
2024-07-30,Rally,"Harris held a rally in Atlanta, Georgia",chunk,"The evening drives away. Thank you, thank you. thank you. Thank you everyone, thank you, thank you. Thank you all, thank you very much. Thank you everybody. Oh, it's good to be back in Georgia. Thank you everyone. Can we please hear for Tyler? I want to thank Tyler for that incredible introduction. I invited him and several other young entrepreneurs to come and visit with me at the White House. And we had a really very long and important conversation about the future of America. And Tyler, you represent the best of our future. Thank you. And please give it up for Quavo and Megan. So it is so good to see everyone. And let me also thank our incredible members of Congress who are with us this evening. Senator John Assoff, Senator Raphael Warnock, and Representative Nakeema Williams, and Senator George A. To Mayor Andre Dickens, thank you for welcoming me, to Atlanta, and thank you to the great Stacey Abrams. You are an extraordinary leadership. So Georgia, it is so good to be back. And I am very clear, the path to the White House runs right through this state. And you all helped us win in 2020, and we're going to do it again in 2024. So let's get right down. So I'm going to get into some business now. All right. So Georgia, as many of you know, before, and have a seat if you have a chair. As many of you know, before I was elected Vice President, and before I was elected a United States Senator, I was an elected Attorney General and an elected District Attorney. And before that, I was elected a Vice President and an elected District Attorney. And before that, I was a courtroom prosecutor. So in those roles, I took on perpetrators of all kinds. Predators who abused women. Fraudsters who ripped off consumers. Cheaters who broke the rules for their own gain. So hear me when I say, I know Donald Trump's tight. And I have been dealing with people like him my entire career. For example, as Attorney General of California, I took on one of our country's largest for-profit colleges that was scanning students. Well, Donald Trump ran a for-profit college that scanned students.",chunk_1,379
2024-07-30,Rally,"Harris held a rally in Atlanta, Georgia",chunk,"As a prosecutor, I specialized in child sexual abuse cases and sexual abuse cases. Well, Trump was found liable for committing sexual abuse. And as an Attorney General, I held the Big Wall Street banks accountable for fraud. Donald Trump was just found guilty of fraud. 34 counts. So in this campaign, Lock it up, Lock it up, Lock it up, Lock it up, Lock it up. So in this campaign, I will proudly put my record against his any day of complaint. Any day of complaint. Any day of complaint. Including, for example, on the issue of immigration. So I was the Attorney General of a border state. In that job, I walked underground tunnels between the United States and Mexico on that border with law enforcement officers. I went after transnational gangs, drug cartels, and human traffickers that came into our country illegally. I prosecuted them, in case after case, and I won. Donald Trump.. Donald Trump, on the other hand, has been talking a big game about securing our border, but he does not walk the walk. Or as my friend Quavo would say, he does not walk it like he talks it. He is a doctor. So look, our administration worked on the most significant border security bill in decades. Some of the most conservative Republicans in Washington, DC, supported the bill. Even the border patrol endorsed it. It was all set to pass. But at the last minute, Trump directed his allies in the Senate to vote it down. He tanked, tanked the bipartisan deal because he thought it would help him win an election. Which goes to show, Donald Trump does not care about border security. He only cares about himself. And when I am president, I will work to actually solve the problem. So here is my pledge to you. As president, I will bring back the border security bill that Donald Trump killed, and I will sign it into law, and show Donald Trump what real leadership looks like. But make no mistake, this campaign is not just about us versus Donald Trump. Truly, this campaign is about two very different visions for our nation. One focused on the future, the other focused on the past.",chunk_2,374
2024-07-30,Rally,"Harris held a rally in Atlanta, Georgia",chunk,"We believe in a future where every person has the opportunity to build a business, to own a home, to build intergenerational wealth, a future with affordable healthcare, affordable childcare, paid leave. And all of this is to say, building up the middle class will be a defining goal of my presidency. Because we here all know when our middle class is strong, America is strong. And to keep our middle class strong, families need relief from the high cost of living so that they have a chance, not just to get by, but to get ahead. And yes, it is true that by many indicators, our economy is the strongest in the world, but while inflation is down and wages are up, prices are still too high. You know it and I know it. And when we win this election, here's what we're going to do about it. On day one, I will take on price gouging and bring down costs. We will ban more of those hidden fees and surprise late charges that banks and other companies use to pad their profits. We will take on corporate landlords and cap unfair rent increases. And we will take on big pharma to cap prescription drug costs for all Americans. Our plan will lower costs and save many middle class families thousands of dollars a year. But Donald Trump has a different plan in mind. One that would raise prices on middle class families. Just look at his Project 2025 agenda. I take it you've seen it. Project 2025 is a plan to weaken the middle class. Be clear. And Donald Trump intends to cut Social Security and Medicare. He intends to give tax breaks to billionaires and big corporations. He intends to gut our investments in clean energy jobs. He intends to end the Affordable Care Act. He intends to take on the price gouging and bring down costs. To take us back to a time when insurance companies have the power to deny people with pre-existing conditions. You guys remember what that was? Children with asthma, breast cancer survivors, grandparents with diabetes. And we are not going back. We're not going back. And we are not going back because ours is a fight for the future.",chunk_3,378
2024-07-30,Rally,"Harris held a rally in Atlanta, Georgia",chunk,"And it is a fight for freedom. Across our nation we are witnessing a full on assault on hard fought, hard won freedoms and rights. The freedom to vote. The freedom to be safe from gun violence. The freedom to live without fear of bigotry and hate. The freedom to love who you love openly and with pride. The freedom to learn and acknowledge our true and full history. And the freedom of a woman to make decisions about her own body and not have her government tell her what to do. Ours is a fight for the future and for freedom. And I don't have to tell folks in Atlanta that generations of Americans before us led the fight for freedom. And now the baton is in our hands. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. And we are fighting for freedom. We who believe in the sacred freedom to vote will finally pass the freedom to vote act and the John Lewis voting right to dance and act. We who believe in the freedom to live safe from gun violence will finally pass universal background checks, red flag laws, and an assault weapons ban. We who believe in reproductive freedom will stop Donald Trump's extreme abortion bans and when Congress passes a law to restore reproductive freedoms as President of the United States, I will sign it in too long. So November 5th is in 98 days. In 98 days and let's level set, friends, let's level set. We have a fight in front of us. We have a fight in front of us. And we are the underdogs in this race. We are. But you see, this is a people powered campaign. Ours is a people powered campaign. In fact, after I announced my candidacy, we saw the best week of grassroots fundraising in presidential campaign history. And if you go to comleharris.com, you can help us build on that success. So the momentum in this race is shifting. And there are signs that Donald Trump is feeling it.",chunk_4,383
2024-07-30,Rally,"Harris held a rally in Atlanta, Georgia",chunk,"You may have noticed. So last week, you may have seen, he pulled out of the debate in September. He had previously agreed to. So, so, so here's the thing. Here's the funny thing about that. Here's the funny thing about that. So he won't debate. But he and his running mate sure seem to have a lot to say about me. And by the way, don't you find some of their stuff to just be plain weird? Well, Donald. I do hope you'll reconsider to meet me on the debate stage. Because as the same goes, if you've got something to say. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face. Say it to my face.",chunk_5,388
